objectid,filename,title,format,interpretation,creator,findingaid,date,date_expanded,category,subject,url,speaker,pageref,citedtext,rights,rightsstatement
11,advicetolady.jpeg,Advice to a Lady,image/jpeg,"In later editions of Advice to a Lady by Lyttleton, the poem was entitled ""To Belinda"" and placed next to Monody--the latter of which also serves as the Epigraph to this novel. There is reasonable speculation that Edgeworth conceived of the novel's character Belinda based on two examples of poems about genteel young women named Belinda and courtship: The Rape of the Lock, by Alexander Pope, and this work by Lyttleton. Additionally, Belinda's last name ""Portman"" might suggest ""portmeanteau""--in other words, a collection of her qualities and attractions, as outlined by this poem (459).",Lord George Lyttleton,The link provided offers a digitized copy of the primary source.,1733,1733,Poetry,Contemporary Works; Literary Culture; Moral,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99119470140001021,Narrator,7,"""One niece still remained unmarried--Belinda Portman, of whom she was determined to get rid of with all convenient expedition.""",,
12,advicetolady.jpeg,Advice to a Lady,image/jpeg,"Mrs. Stanhope invokes a line within this poem, which at large endeavors to speak the ""truth"" about the nature and origins of feminine vanity, and how it is counterproductive to the cultivation of a honest and sensible (in line with the contemporary definition, prudent) love in women: “What is your Sex’s earliest, latest Care, / Your Heart’s supreme Ambition? To be fair; / For this the Toilet every Thought employs, / Hence all the Toils of Dress, and all the Joys : / For this Hands, Lips, and Eyes are put to School, / And each instructed Feature has its Rule.” Mrs. Stanhope attempts to inculcate within her nieces an aspect of this mindset; in which every quality/talent/asset of the person is marsheled to establish themselves in high society--more specifically, to marry a wealthy man of considerable status--just as it is represented here in the service of vain attraction. This is contradictory to Lyttleton's overall message about how women are raised to be captivating on a surface level, rather than expressing beauty as something that comes from within: “Her fairest Virtues fly from publick Sight, / Domestick Worth, that shuns too strong a Light...Thus, I, Belinda, would your Charms improve, / And form your Heart to all the Arts of Love.” The foreshadowing inherent in this allusion by Edgeworth signals the true nature of the novel's narrative aims, which is to create a heroine of the same name who wins her romantic love match through bold prudence and humility--not through the excessive vanity and wit of fashion witnessed in Lady Delacour. This also gives considerable insight into Mrs.Stanhope's mind, in that she believes it is exactly this aspect of Lady Delacour that will be an asset to Belinda's social advancement, revealing her short-sighted and ultimately poor advice when it comes to choosing a partner solely on the basis of immediate financial gain.",Lord George Lyttleton,"The phrases referenced can be found on page 4 of the primary source document, spanning lines 21-22.",1733,1733,Poetry,Contemporary Works; Literary Culture; Moral,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99119470140001021,Narrator,7,"""'For this, hands, lips, and eyes were put to school, / And each instructed feature had it's rule.'""",,
13,richard3.jpeg,Richard III,image/jpeg,"An inventive re-imagining of a scene from Richard III, in which the brother he has had imprisoned--named Clarence--is asked by his keeper (whom Lady Delacour plays on this impromptu stage) the nature of the bad dreams that he mentions with no shortage of distress. Clarence then goes on to describe his haunting recollection, rendered by the novel's Clarence as a way to convey the displeasure with which he felt his visit at Mrs.Luttridge's house. The comparison is apt, considering Mrs.Luttridge is proven to be every bit as calculating and ruthless as Richard III; revealed especially in the chapter regarding her E O table, which she uses to swindle countless high society men out of enormous sums of money.",William Shakespeare,"With reference to Act 1, scene 4, which begins at the bottom of page 23 and continues on to page 25.",1734,1734,Play,Theater; Literary Culture; History; Tragedy,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99119452890001021,Lady Delacour; Clarence Hervey,13,"""'What was your dream, my lord, I pray you tell me?'"" ""'O lord, methought what pain it was to dance! / What dreadful noise of fiddles in my ears! / What sights of ugly belles within my eyes! / --- Then came wandering by, / A shadow like a devil, with red hair, / Dizened with flow'rs; and she bawl'd out aloud, / Clarence is come, false, fleeting, perjur'd Clarence!'""",,
14,penseroso.jpeg,Il Penseroso',image/jpeg,"Here Lady Delacour cleverly plays on the line from this famous poem: ""Sometimes let gorgeous Tragedy / In sceptered pall come sweeping by."" In the primary source, the speaker conveys a sincere wish to behold the goddess Melancholy in all of her majesty, and in this section speaks of staying up all night for just a glimpse of her passing. Marriott's insistent association of tragedy with Lady Delacour--whose sole aspiration in life is to disguise the extent of her true feelings of unhappiness and illness from the world, yet unknown to the reader--as well as Lady Delacour's subsequent allusion could be considered an adroit form of foreshadowing on Edgeworth's part. Marriott, as her waiting-woman, would be one of the people closest to Lady Delacour, and so her ability to reveal things that are not evident to the social world (which is how Mrs. Stanhope understands and communicates Lady Delacour's sensibility to Belinda) is significant.",John Milton,The phrase referenced by Lady Delacour can be found at the top of page 19 in the primary source document.,1751,1751,Poetry,Literary Culture; Ode,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99106892090001021,Lady Delacour,19,"""O yes, you [Belinda] must be the comic muse; and I [Lady Delacour] must be tragedy, because Marriott has a passion for seeing me 'come sweeping by.'""",,
15,penseroso.jpeg,Il Penseroso',image/jpeg,"Further allusion is made to this poem in the same scene where Belinda and Lady Delacour are preparing for the masquerade, referring to the lines: ""'In sage and solemn tunes have sung, / Of tourneys and of trophies hung, / Of forests and enchantments drear, / Where more is meant than meets the ear'"" regarding Lady Delacour's uncharacteristic submission to Marriott's will. These lines from the primary source suggest some awe-inspiring power in the goddess of Melancholy's imbued influence on music, and in much the same way the narrator remarks upon Marriott exposing a similar sensibility in Lady Delacour that the latter desperately tries to hide.",John Milton,The phrase referenced by the narrator can be found in the middle of page 20 in the primary source document.,1751,1751,Poetry,Literary Culture; Ode,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99106892090001021,Narrator,19,"""There was an air of extreme vexation in lady Delacour's countenance, as she pronounced these last words, in which evidently more was meant than met the ear.""",,
16,epithalamion.jpeg,Epithalamion,image/jpeg,"Among the earliest uses of the literary phrase ""proud humility,"" here Spenser is describing a bride newly married on her wedding night. The inherent innocent virtue within this description is somewhat at odds in its juxtaposition with Lady Delacour in this moment, except perhaps for a shared sense of heightened vulnerability.",Edmund Spenser,"The line ""proud humility"" can be found in the middle of page 205 in the primary source document.",1594,1594,Poetry,Literary Culture; Ode,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99102371520001021,Belinda,19,"""For some time, Belinda imagined that this submission was merely an air, as she had seen some other fine ladies proud of appearing to be governed by a favourite maid; but she soon was convinced, that Marriott was no favourite with lady Delacour; that her ladyship's was not proud humility, but fear.""",,
17,allswell.jpeg,All's Well That Ends Well,image/jpeg,"With reference here to the way Helen describes the subject of her romantic love, Bertram: “His humble ambition, proud humility; / His jarring concord; and his discord dulcet."" What is of particular note in this section of the play is the way in which her descriptions are progressively inverted here, and the content of her replies to Parolles seems to be intentionally trying to distract him from the true nature of her feelings by remaining vague and contradictory. Bertram, much like Lady Delacour, is a rather willful person of significant power; he rejects Helen's romantic feelings for him several times on the basis of her class before he can be convinced to be with her by the end of the play. Belinda here, in all of her shrewd perception, notices that it is not Lady Delacour simply indulging Marriott's demands--which would not be entirely unexpected from her penchant for raillery, despite being willful by nature--but rather that she is obeying Marriott for some other reason.",William Shakespeare,"The line ""proud humility"" can be found in Act 1, scene 1, on page 9 of the primary source document.",1756,1756,Play,Theater; Literary Culture; Comedy,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99122107240001021,Belinda,19,"""For some time, Belinda imagined that this submission was merely an air, as she had seen some other fine ladies proud of appearing to be governed by a favourite maid; but she soon was convinced, that Marriott was no favourite with lady Delacour; that her ladyship's was not proud humility, but fear.""",,
18,widow.jpeg,The Irish Widow,image/jpeg,"This was a well-known play at the time, and much novelty was associated with the 'breeches' role taken up by actress Mrs. Barry. One would be remiss to not to notice the way both Harriot Freke and Lady Delacour, in their imitation of the character, are being exemplified as fashionable members of London high society. As this precedent is also set to establish the reader's understanding/expectations of Harriot Freke, it is apt that the main character does act outrageously and later dresses as a man to ward off an unwanted suitor. Harriot Freke does all of these things, but instead of trying to chase unwanted affections away in a comedic way, she implements these qualities for the sake of maintaining constant social relevance and manipulating other vain individuals vulnerable to her machinations.",David Garrick,The link provided offers a digitized copy of the primary source.,1772,1772,Play,Theater; Contemporary Works; Comedy,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99110468160001021,Lady Delacour,20,"""Harriot Freke has told him, in confidence, that I'm to be the widow Brady, in man's clothes; now that's to be Harriot's own character, so Hervey will make fine confusion.""",,
19,paradise.jpeg,Paradise Lost,image/jpeg,"May be pointing to this description of Adam and Eve: ""So hand in hand they passed, the loveliest pair / That ever since in loves imbraces met, / Adam the goodliest man of men since born / His sons, the fairest of her daughters Eve."" There are two notable impilcations to this description of his failed serpent costume for the masquerade; the first and most obvious one being that he is being aligned with all of the virtues and appeal of Adam rather than Lucifer in the form of the snake. His costume fails literally and symbolically because he does not have the capacity to be maliciously manipulative or deceptive to the extent witnessed in Lucifer, even despite his capacity for social adaptation. The added observation that ""nothing remained but the melancholy spectacle of [the serpent's] skeleton"" further implies that Clarence's adherence to vanity is entirely mechanical, not the driving force of his mind and personality like Harriot Freke (21). The second implication is that, in invoking this harmonious scene between Adam and Eve in the midst of this mishap, there is the suggestion that he will be--and indeed he is--the central, successful male love interest for Belinda.",John Milton,"This excerpt can be found in book 4, spanning lines 321-324.",1667,1667,Poetry,Literary Culture; Epic; Moral,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99138106893301021,Narrator,21,"""[Clarence] had contrived a set of phosphoric rays, which he was certain would charm all the fair daughters of Eve.""",,
20,schools.jpeg,The School for Scandal,image/jpeg,"Clarence and his friend group are laughing about the men ensnared by Mrs.Stanhope's attempts at pairing her nieces with wealthy husbands, and Belinda--in the costume of the tragic muse, then assumed to be Lady Delacour--is the only one who stands apart by sighing. In accordance with their usual penchant for exchanging witty banter, Clarence plays up what he thinks is feigned dejection by commending her capacity to withhold laughter despite the clearly comedic topic of conversation. (This particular play was a comedy, likely known to inspire a considerable deal of laughter.)",Richard Brinsley Sheridan,The link provided offers a digitized copy of the primary source.,1780,1780,Play,Theater; Contemporary Works; Comedy,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99121585890001021,Clarence Hervey,23,"""'Even were she at the School for Scandal, the tragic muse dare not laugh, except behind her mask,' said Clarence Hervey.""",,
21,essayonman.jpeg,Essay on Man,image/jpeg,"This may be an allusion to the lines ""Mean-while Opinion gilds with varying rays / Those painted clouds that beautify our days; / Each want of happiness by Hope supply'd / And each vacuity of sense by Pride."" This reference is significant in that it seeks to highlight how this particular character (Sir Philip) is so prideful as to cloud his good judgment (sense). Over the course of the novel the reader observes how this foible is sustained in his efforts to court Belinda at the expense of Clarence's clear feelings for her, and her subsequent lack of interest in his suit.",Alexander Pope,"This excerpt can be found in Epistle 2, lines 283-286, spanning pages 37-38 in the primary source document.",1733,1733-1734,Poetry,Contemporary Works; Literary Culture; Moral,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99101354910001021,Sir Philip Baddely,23,"""'Damn me, if I know any woman, young or old, that would avoid being married, if she could, though, damn me.' cried sir Philip Baddely, a gentleman who always supplied 'each vacuity of sense' with an oath--'But damn me, Rochfort, didn't Valleton marry one of those nieces?'""",,
22,shenstone.jpeg,Works in Verse and Prose,image/jpeg,"This slight misquotation might be considered a form of foreshadowing, as those who are well-read in Edgeworth's formulation tend to be evocative of highly sensible and moral individuals; and Lady Delacour certainly is, although her corpus of literature later appears to be in need of some curation. Here the reader gets a signifier of her future reformation in her patrially accurate recollection, notably inspired by Clarence Hervey who in tandem with Belinda's efforts assists in her recovery. The original text reads: ""Why mourns my friend! why weep his downcast eye? / That eye where mirth, where fancy us'd to shine?""",William Shenstone,"This excerpt can be found in volume 1, in the first lines of Elegy 26, page 65 of the primary source document.",1764,1764,Poetry,Contemporary Works; Literary Culture; Elegy,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99123378320001021,Lady Delacour,24,"""'Why mourns my friend, why weeps his down-cast eye? / That eye where mirth and fancy used to shine.'""",,
23,iliad.jpeg,Iliad,image/jpeg,"Likely a reference to the lines: ""Persuasive Speech, and more Persuasive Sighs, / Silence that spoke, and Eloquence of Eyes."" Much of Hervey's social prowess within the novel is situated in his easy capacity to match wits with Lady Delacour and maximize her social performances, but even more so in that his rejoinders are possessed of even greater intellectual and good-natured profundity. Ultimately the novel posits a morality/sensibility less concerned with the vanity somewhat inherent in this kind of vain display, but the sheer scope of his intellect is of note here and throughout the novel.",Homer; Alexander Pope,"This excerpt can be found in volume 4, book 14, spanning lines 251-252 in the primary source document.",1715,1715-1720,Poetry,Contemporary Works; Literary Culture; Translation; Epic; Global Literature; Classics,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99123604190001021,Clarence Hervey,25,"""'Persuasive words, and more persuasive sighs,' said Clarence Hervey.""",,
24,penseroso.jpeg,Il Penseroso',image/jpeg,"An allusion to Il Penseroso's address to the goddess Melancholy: ""Thy rapt soul sitting in thine eyes; / There held in holy passion still, / Forget thyself to marble."" This may be a clever and subtle remark on the latent strength of feeling within Belinda (Melpomene was the muse of tragedy, and she was costumed as the tragic muse), in that though she freezes in the face of Hervey's circle of friends making unflattering remarks about her aunt, later on Lady Delacour attempts to comfort her when she privately cries from her initial distress.",John Milton,"This excerpt can be found in lines 40-42, in the middle of page 15 of the primary source document.",1751,1751,Poetry,Literary Culture; Ode,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99106892090001021,Lady Delacour,25,"""'A good bold Stanhope cast of the net, faith,' whispered one of his companions--'Melpomene, hast thou forgot thyself to marble?' pursued Lady Delacour--'I am not very well,' whispered miss Portman to her ladyship--'could we get away?'""",,
25,fortune.jpeg,The Wheel of Fortune,image/jpeg,"The passage cited here is with reference to Emily in the play, who remarks ""No sir that would be to debar me from the use of eyes, ears, and understanding"" when her father says he would not expect her to prefer a marriage to an unwelcome suitor in comparison to the man she loves. While it is still early within the text, this is again a testament to Lady Delacour's latent morality, in that (unlike the vanity in Harriot Freke) she may be suggesting she would never expect Belinda to be with anyone she sincerely doesn't like, no matter her partiality to Clarence.",Richard Cumberland,"This excerpt is from Act 4, scene 2 of this comedy, which can be found in the middle of page 50.",1795,1795,Play,Theater; Contemporary Works; Literary Culture; Moral; Comedy,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99110155110001021,Lady Delacour,26,"""'What is the matter with ye both?--How he stands!' said lady Delacour, turning to Mr.Hervey--'Did you never see a woman blush before?--or did you never say or do anything to make a woman blush before?--Will you give miss Portman a glass of water?--there's some behind you on the sideboard, man!--but he has neither eyes, ears, nor understanding--Do go about your business,"" said her ladyship.""",,
26,belle.jpeg,The Belle's Stratagem,image/jpeg,"What is of particular note here is that the exchange alluded to in this play is likely that of Lady Frances asking at the masquerade ""Why do you keep on your mask?"" and Courtall's reply after saying they have no time for the niceties of bidding everyone goodbye to ""'Put on your mask, I have a particular reason for it.'"" While this can easily be read as Lady Delacour advising Belinda ""not to let her real feelings show"" (464), an additional reading may be that a great deal of Lady Delacour's character construction has its basis in a self-imposed need to wittily perform in order to maintain her reputation and thrive within her social circumstances. In accordance, her advice to Belinda is a reflection of what she truly believes to be a foundational aspect of survival for women amongst high society in fashionable London. Much of her reformation as a character is her subdued removal from this vain desperation to a focus on cultivating a greater, more sincere amity with her husband and daughter.",Hannah Cowley,"This excerpt is from Act 4, scene 1 of this play, and can be found on page 55 of the primary source document.",1780,1780,Play,Theater; Contemporary Works; Literary Culture; Comedy,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/11glg5q/alma99122121700001021,Lady Delacour,27,"""'What is the meaning of all this? You'd best trust me; for I know as much of men and manners, as your aunt Stanhope at least; and in one word, you have nothing to fear from me, and every thing to hope from yourself; if you will only dry up your tears, keep on your mask, and take my advice; you'll find it as good as your aunt Stanhope's.'""",,
27,henry8.jpeg,Henry VIII,image/jpeg,"In this passage Lady Delacour mirrors Cardinal Wolsey's words: ""Had I but serv'd my God with half the zeal / I serv'd my king, he would not mine age / Have left me naked to mine enemies."" There are many points of significance in this juxtaposition, not the least of which aligning personal morality with serving God; in some ways, suggesting that the very highest order of conduct is reaching towards the highest order of being. There is also the more surface level consideration that vanity is being portrayed as a vice, and one which may lead to personal ruin or dissolution if left unchecked for a lifetime. What is of particular note in a second reading of the text, however, is the part about being left vulnerable to one's enemies--in that Mrs. Freke rather cruelly capitalizes on this weakness within Lady Delacour (and within other characters as well).",William Shakespeare,"This excerpt is from Act 3, scene 2 of this play, which can be found at the bottom of page 65 of this primary source document. During this period, Henry VIII was incredibly popular among Shakespeare's plays.",1732,1732,Play,Theater; Literary Culture; Moral,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99117355870001021,Lady Delacour,28,"""'If I had served myself, with half the zeal that I have served the world, I should not now be thus forsaken! I have sacrificed reputation, happiness--every thing, to the love of frolic.'""",,
28,memoirsrle.jpeg,Memoirs,image/jpeg,"It is well known that Lady Delacour's character was closely aligned with the real life figure of Sir Francis Delaval, taken almost verbatim from Edgeworth's father's biography of Delaval's life. Unlike Delaval's unfortunate portend of his own life's end two days later, Lady Delacour is afforded the chance to change and live in a fulfilling way--which is a testament to what might be lost in the sometimes wooden and didactic sense of morality within the text; ultimately this is a story in which people can achieve the same, so long as they understand their own potential and overcome their vices (often with the support of others and/or supplemental reading).",Richard Lovell Edgeworth,Lady Delacour's lament is mirrored in an account of Delaval's remarks to Edgeworth's father on pages 155-156 of the primary source document.,1820,1820,Memoir; Biography,Current Events; Moral,https://hdl.handle.net/2027/mdp.39015038693530,Lady Delacour,28,"""'I have sacrificed reputation, happiness--every thing to the love of frolic--All frolic will soon be at an end with me--I am dying--and I shall die unlamented by any human being. If I were to live my life over again, what a different life it should be!--What a different person I would be! But it is all over now--I am dying.'""",,
29,adele.jpeg,Adelaide and Theodore,image/jpeg,"Maria Edgeworth translated the first volume of these letters from the original French, of which Lady Delacour's remark may be alluding to the following: ""il est vrai qu'il possedent au supreme degre l'eloquence du billet"" from the end of Letter 10. The English translation of which was: ""Many women are very clever in the art of writing notes, and express themselves with great eloquence."" This in line with Lady Delacour's thematic vanity--especially relied upon in strenuous moments--may be seen as an extension of this facet of her character. There is, however, an even more noticeable alignment beyond this direct mirroring, in that the beginning of the letter starts with the writer's lament of her own fixation with being a coquette, and the time she wasted in trying to emulate this self-same vanity--exactly like Lady Delacour's regret a handful of pages before: ""What a picture you have sent me of coquetry; it will cure me of all pretensions to it! I shall never again boast of being a coquette, and I shall all my life repent ever having had the appearance of one! You have really made a deep impression on me, but why did you not tell me all this when I was but twenty years old? My reformation would then have done you more honour, and would have spared me much pain."" Lady Delacour, similarly, is over thirty by this point in the novel--and she similarly laments the loss of time and vitality to her own erroneous coquetry; it motivates much of her insistence on sparing Belinda from any kind of similar folly.",Madame de Genlis,"This excerpt is from volume 1 at the end of Letter 10, on pages 41-42 as well as pages 35-36 in the same letter, entitled Viscountess to the Baroness. This epistolary novel was translated from the original French Adele et Theodore: ou lettres sur l'education published in 1782, into 3 volumes in English in 1783.",1783,1783,Epistolary,Contemporary Works; Literary Culture; Moral; Translation; Global Literature,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99116196500001021,Lady Delacour,32,"""'will you dine with me têtê-à-têtê, and I'll write an excuse, alias a lie, to lady Singleton, in the form of a charming note. I pique myself sur l'eloquence du billet--then we shall have the evening to ourselves.""",,
